player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Metta World Peace,LAL,SF,"","",--,--,--,--,--,--,--,--,--,--
Elton Brand,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Kobe Bryant,LAL,SG,"","",--,--,--,--,--,--,--,--,--,--
Vince Carter,Sac,SG,"","",--,--,--,--,--,--,--,--,--,--
Jamal Crawford,Min,SG,"","",--,--,--,--,--,--,--,--,--,--
Tim Duncan,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Kevin Garnett,Min,PF,"","",--,--,--,--,--,--,--,--,--,--
Manu Ginobili,SA,SG,"","",--,--,--,--,--,--,--,--,--,--
Andre Miller,SA,PG,"","",--,--,--,--,--,--,--,--,--,--
Mike Miller,Den,SF,"","",--,--,--,--,--,--,--,--,--,--
Nazr Mohammed,OKC,C,"","",--,--,--,--,--,--,--,--,--,--
Dirk Nowitzki,Dal,PF,"",FERA,--,--,--,--,--,--,--,--,--,--
Paul Pierce,LAC,SF,"","",--,--,--,--,--,--,--,--,--,--
Jason Terry,Mil,SG,"","",--,--,--,--,--,--,--,--,--,--
Tyson Chandler,Pho,C,"","",--,--,--,--,--,--,--,--,--,--
Pau Gasol,SA,PF,"",FERA,--,--,--,--,--,--,--,--,--,--
Richard Jefferson,Den,SF,"","",--,--,--,--,--,--,--,--,--,--
Joe Johnson*,Utah,SG,O,"",--,--,--,--,--,--,--,--,--,--
Tony Parker*,SA,PG,O,"",--,--,--,--,--,--,--,--,--,--
Zach Randolph,Sac,PF,"",BOYD,--,--,--,--,--,--,--,--,--,--
Chris Andersen,Cle,C,"","",--,--,--,--,--,--,--,--,--,--
Caron Butler,Sac,SF,"","",--,--,--,--,--,--,--,--,--,--
Mike Dunleavy,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Drew Gooden,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Nene ,Hou,PF,DTD,"",--,--,--,--,--,--,--,--,--,--
Tayshaun Prince,Min,SF,"","",--,--,--,--,--,--,--,--,--,--
Amar'e Stoudemire,Mia,PF,"","",--,--,--,--,--,--,--,--,--,--
Matt Barnes,GS,SF,"","",--,--,--,--,--,--,--,--,--,--
Rasual Butler,Min,SG,"","",--,--,--,--,--,--,--,--,--,--
Luis Scola,Bkn,PF,"","",--,--,--,--,--,--,--,--,--,--
LeBron James,Cle,SF,"",JCOH,--,--,--,--,--,--,--,--,--,--
Carmelo Anthony,OKC,SF,"",SANF,--,--,--,--,--,--,--,--,--,--
Chris Bosh*,Mia,C,O,"",--,--,--,--,--,--,--,--,--,--
Nick Collison,OKC,PF,"","",--,--,--,--,--,--,--,--,--,--
Kirk Hinrich,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Chris Kaman,Por,C,"","",--,--,--,--,--,--,--,--,--,--
Dwyane Wade,Cle,SG,"",STIP,--,--,--,--,--,--,--,--,--,--
Steve Blake,Det,PG,"","",--,--,--,--,--,--,--,--,--,--
Matt Bonner,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Dahntay Jones,Cle,SG,"","",--,--,--,--,--,--,--,--,--,--
James Jones,Cle,SF,"","",--,--,--,--,--,--,--,--,--,--
